DAY,DATE,HOLIDAY
Sunday,"Jan 01, 2017",New Year's Day
Saturday,"Jan 14, 2017",Makar Sankranti / Pongal
Thursday,"Jan 26, 2017",Republic Day
Friday,"Feb 24, 2017",Maha Shivaratri
Monday,"Mar 13, 2017",Holi
Tuesday,"Mar 28, 2017",Ugadi / Gudi Padwa
Wednesday,"Apr 05, 2017",Ram Navami
Sunday,"Apr 09, 2017",Mahavir Jayanti
Friday,"Apr 14, 2017",Good Friday
Monday,"May 01, 2017",Labor Day
Wednesday,"May 10, 2017",Budhha Purnima
Sunday,"Jun 25, 2017",Rath Yatra
Monday,"Jun 26, 2017",Eid-ul-Fitar
Monday,"Aug 07, 2017",Raksha Bandhan
Monday,"Aug 14, 2017",Janmashtami
Tuesday,"Aug 15, 2017",Independence Day
Friday,"Aug 25, 2017",Vinayaka Chaturthi
Saturday,"Sep 02, 2017",Bakri Id / Eid ul-Adha
Monday,"Sep 04, 2017",Onam
Saturday,"Sep 30, 2017",Dussehra / Dasara
Sunday,"Oct 01, 2017",Muharram
Monday,"Oct 02, 2017",Mathatma Gandhi Jayanti
Thursday,"Oct 19, 2017",Diwali / Deepavali
Friday,"Dec 01, 2017",Milad un Nabi
Monday,"Dec 25, 2017",Christmas
Monday,"Jan 01, 2018",New Year's Day
Sunday,"Jan 14, 2018",Makar Sankranti / Pongal
Friday,"Jan 26, 2018",Republic Day
Wednesday,"Feb 14, 2018",Maha Shivaratri
Friday,"Mar 02, 2018",Holi
Sunday,"Mar 18, 2018",Ugadi / Gudi Padwa
Sunday,"Mar 25, 2018",Ram Navami
Thursday,"Mar 29, 2018",Mahavir Jayanti
Friday,"Mar 30, 2018",Good Friday
Monday,"Apr 30, 2018",Budhha Purnima
Tuesday,"May 01, 2018",Labor Day
Saturday,"Jun 16, 2018",Eid-ul-Fitar
Saturday,"Jul 14, 2018",Rath Yatra
Wednesday,"Aug 15, 2018",Independence Day
Wednesday,"Aug 22, 2018",Bakri Id / Eid ul-Adha
Saturday,"Aug 25, 2018",Onam
Sunday,"Aug 26, 2018",Raksha Bandhan
Monday,"Sep 03, 2018",Janmashtami
Thursday,"Sep 13, 2018",Vinayaka Chaturthi
Friday,"Sep 21, 2018",Muharram
Tuesday,"Oct 02, 2018",Mathatma Gandhi Jayanti
Friday,"Oct 19, 2018",Dussehra / Dasara
Wednesday,"Nov 07, 2018",Diwali / Deepavali
Wednesday,"Nov 21, 2018",Milad un Nabi
Friday,"Nov 23, 2018",Guru Nanak's Birthday
Tuesday,"Dec 25, 2018",Christmas
Tuesday,"Jan 01, 2019",New Year's Day
Monday,"Jan 14, 2019",Makar Sankranti / Pongal
Saturday,"Jan 26, 2019",Republic Day
Monday,"Mar 04, 2019",Maha Shivaratri
Thursday,"Mar 21, 2019",Holi
Saturday,"Apr 06, 2019",Ugadi / Gudi Padwa
Saturday,"Apr 13, 2019",Ram Navami
Wednesday,"Apr 17, 2019",Mahavir Jayanti
Friday,"Apr 19, 2019",Good Friday
Wednesday,"May 01, 2019",Labor Day
Saturday,"May 18, 2019",Budhha Purnima
Wednesday,"Jun 05, 2019",Eid-ul-Fitar
Thursday,"Jul 04, 2019",Rath Yatra
Monday,"Aug 12, 2019",Bakri Id / Eid ul-Adha
Thursday,"Aug 15, 2019",Raksha Bandhan
Thursday,"Aug 15, 2019",Independence Day
Saturday,"Aug 24, 2019",Janmashtami
Monday,"Sep 02, 2019",Vinayaka Chaturthi
Tuesday,"Sep 10, 2019",Muharram
Wednesday,"Sep 11, 2019",Onam
Wednesday,"Oct 02, 2019",Mathatma Gandhi Jayanti
Tuesday,"Oct 08, 2019",Dussehra / Dasara
Sunday,"Oct 27, 2019",Diwali / Deepavali
Sunday,"Nov 10, 2019",Milad un Nabi
Tuesday,"Nov 12, 2019",Guru Nanak's Birthday
Wednesday,"Dec 25, 2019",Christmas
Wednesday,"Jan 01, 2020",New Year's Day
Wednesday,"Jan 15, 2020",Makar Sankranti / Pongal
Sunday,"Jan 26, 2020",Republic Day
Friday,"Feb 21, 2020",Maha Shivaratri
Tuesday,"Mar 10, 2020",Holi
Wednesday,"Mar 25, 2020",Ugadi / Gudi Padwa
Thursday,"Apr 02, 2020",Ram Navami
Monday,"Apr 06, 2020",Mahavir Jayanti
Friday,"Apr 10, 2020",Good Friday
Friday,"May 01, 2020",Labor Day
Thursday,"May 07, 2020",Budhha Purnima
Monday,"May 25, 2020",Eid-ul-Fitar
Tuesday,"Jun 23, 2020",Rath Yatra
Saturday,"Aug 01, 2020",Bakri Id / Eid ul-Adha
Monday,"Aug 03, 2020",Raksha Bandhan
Wednesday,"Aug 12, 2020",Janmashtami
Saturday,"Aug 15, 2020",Independence Day
Saturday,"Aug 22, 2020",Vinayaka Chaturthi
Sunday,"Aug 30, 2020",Muharram
Monday,"Aug 31, 2020",Onam
Friday,"Oct 02, 2020",Mathatma Gandhi Jayanti
Sunday,"Oct 25, 2020",Dussehra / Dasara
Friday,"Oct 30, 2020",Milad un Nabi
Saturday,"Nov 14, 2020",Diwali / Deepavali
Monday,"Nov 30, 2020",Guru Nanak's Birthday
Friday,"Dec 25, 2020",Christmas
